Test Result,Defect ID,Comments,1 Depth,2 Depth,3 Depth,4 Depth,5 Depth,6 Depth,7 Depth,8 Depth
NT,,,com.oplus.camera,,,,,,,
NT,,selection,,FlashOff,,,,,,
NT,,leaves app -> com.google.android.googlequicksearchbox,,Google Lens,,,,,,
NT,,,,SubSet,,,,,,
NT,,,,Shoot in a well-lit environment for best results [Title],,,,,,
NT,,,,filteroff,,,,,,
NT,,,,face beautyoff,,,,,,
NT,,,,"PHOTOmode, double finger slide to change mode",,,,,,
NT,,leaves app -> com.coloros.gallery3d,,Latest Photos,,,,,,
NT,,selection,,"""Shutter"" button",,,,,,
NT,,,,Front Camera,,,,,,
NT,,,,PHOTO Rear Camera preview,,,,,,
NT,,,,,PHOTO Rear Camera preview [Title],,,,,
NT,,,,,Close menu,,,,,
NT,,selection,,,Aspect ratioFull,,,,,
NT,,NOT TESTED -- could not return to parent screen,,,1:1,,,,,
NT,,,,,1:1,,,,,
NT,,NOT TESTED -- could not return to parent screen,,,4:3,,,,,
NT,,,,,4:3,,,,,
NT,,NOT TESTED -- could not return to parent screen,,,16:9,,,,,
NT,,,,,16:9,,,,,
NT,,,,,Full,,,,,
NT,,,,,Full,,,,,
NT,,,,,TimerOff,,,,,
NT,,,,,Timer: Off,,,,,
NT,,,,,Timer: Off,,,,,
NT,,,,,3 s,,,,,
NT,,,,,3 s,,,,,
NT,,,,,10 s,,,,,
NT,,,,,10 s,,,,,
NT,,,,,Auto HDRAuto,,,,,
NT,,,,,icon,,,,,
NT,,,,,Auto HDR,,,,,
NT,,,,,Interval shootingoff,,,,,
NT,,,,,button_container,,,,,
NT,,,,,Interval shooting,,,,,
NT,,,,,Interval shooting,,,,,
NT,,,,,Settings,,,,,
NT,,,,,button_container,,,,,
NT,,,,,Settings,,,,,
NT,,,,,Settings,,,,,
NT,,,,,filteroff,,,,,
NT,,,,,face beautyoff,,,,,
NT,,,,,"PHOTOmode, double finger slide to change mode",,,,,
NT,,,,,Latest Photos,,,,,
NT,,,,,"""Shutter"" button",,,,,
NT,,,,,Front Camera,,,,,
NT,,,,,Filters [Title],,,,,
NT,,,,,"Filter adjustment, slide with two fingers to change the filter",,,,,
NT,,,,,FlashOff,,,,,
NT,,,,,Google Lens,,,,,
NT,,,,,SubSet,,,,,
NT,,,,,Latest Photos,,,,,
NT,,,,,"""Shutter"" button",,,,,
NT,,,,,Front Camera,,,,,
NT,,,,,PHOTO Rear Camera preview,,,,,
NT,,selection,,,,Flash: Off,,,,
NT,,,,,,Flash: Off [Title],,,,
NT,,selection,,,,On,,,,
NT,,,,,,On,,,,
NT,,selection,,,,Auto,,,,
NT,,,,,,Auto,,,,
NT,,,,,,Always on,,,,
NT,,,,,,Always on,,,,
NT,,,,,,FlashOff,,,,
NT,,,,,,Google Lens,,,,
NT,,,,,,SubSet,,,,
NT,,,,,,filteroff,,,,
NT,,,,,,face beautyoff,,,,
NT,,,,,,"PHOTOmode, double finger slide to change mode",,,,
NT,,,,,,Latest Photos,,,,
NT,,,,,,"""Shutter"" button",,,,
NT,,,,,,Front Camera,,,,
NT,,,,,,PHOTO Rear Camera preview,,,,
NT,,,,,Retouch [Title],,,,,
NT,,,,,"Face beauty adjustment, slide with two fingers to change the level",,,,,
NT,,"keypad key -- recorded, not pressed",,,0,,,,,
NT,,,,,FlashOn,,,,,
NT,,,,,Google Lens,,,,,
NT,,,,,SubSet,,,,,
NT,,,,,Latest Photos,,,,,
NT,,,,,"""Shutter"" button",,,,,
NT,,,,,Front Camera,,,,,
NT,,,,,PHOTO Rear Camera preview,,,,,
NT,,selection,,,,Off,,,,
NT,,,,,,Off [Title],,,,
NT,,,,,,Flash: On,,,,
NT,,,,,,Flash: On,,,,
NT,,,,,,Auto,,,,
NT,,,,,,Auto,,,,
NT,,,,,,Always on,,,,
NT,,,,,,Always on,,,,
NT,,,,,,FlashOn,,,,
NT,,,,,,Google Lens,,,,
NT,,,,,,SubSet,,,,
NT,,,,,,filteroff,,,,
NT,,,,,,face beautyoff,,,,
NT,,,,,,"PHOTOmode, double finger slide to change mode",,,,
NT,,,,,,Latest Photos,,,,
NT,,,,,,"""Shutter"" button",,,,
NT,,,,,,Front Camera,,,,
NT,,,,,,PHOTO Rear Camera preview,,,,
NT,,selection,,,panel_outside,,,,,
NT,,,,,Welcome to [Title],,,,,
NT,,,,,Photos,,,,,
NT,,,,,"""Photos"" is an app that lets you browse, manage, edit and share your photos and videos. To provide AI editing features (available on some devices), ""Photos"" needs to connect to the internet and access the photos you select. The AI-generated content in the aforementioned features may contain inaccuracies or errors, which may lead to misunderstandings or discomfort. We make no guarantee or representation to the accuracy, completeness or suitability of the generated content and it does not reflect our attitudes or viewpoints.
By tapping ""Agree and continue"", you acknowledge and agree to the Statement of Use and turn on all functions.",,,,,
NT,,,,,"For details, refer to the Photos Privacy Notice and Photos User Agreement.",,,,,
NT,,leaves app -> com.coloros.gallery3d,,,Agree and continue,,,,,
NT,,,,,Disagree,,,,,
NT,,selection,,,FlashAuto,,,,,
NT,,,,,SubSet,,,,,
NT,,,,,filteroff,,,,,
NT,,,,,face beautyon,,,,,
NT,,,,,"PHOTOmode, double finger slide to change mode [Title]",,,,,
NT,,,,,Latest Photos,,,,,
NT,,,,,"""Shutter"" button",,,,,
NT,,,,,Rear Camera,,,,,
NT,,,,,PHOTO Front Camera preview,,,,,
