Test Result,Defect ID,Comments,1 Depth,2 Depth,3 Depth,4 Depth,5 Depth,6 Depth,7 Depth,8 Depth,9 Depth,10 Depth,11 Depth,12 Depth,13 Depth,14 Depth,15 Depth,16 Depth,17 Depth,18 Depth
NT,,,com.oplus.camera,,,,,,,,,,,,,,,,,
NT,,selection,,FlashOff,,,,,,,,,,,,,,,,
NT,,leaves app -> com.google.android.permissioncontroller,,Google Lens,,,,,,,,,,,,,,,,
NT,,leaves app -> com.google.android.googlequicksearchbox,,,grant_singleton,,,,,,,,,,,,,,,
NT,,,,,grant_dialog,,,,,,,,,,,,,,,
NT,,,,,Allow Google to take pictures and record video? [Title],,,,,,,,,,,,,,,
NT,,,,,While using the app,,,,,,,,,,,,,,,
NT,,,,,Only this time,,,,,,,,,,,,,,,
NT,,,,,Don't allow,,,,,,,,,,,,,,,
NT,,,,SubSet,,,,,,,,,,,,,,,,
NT,,,,,Close menu,,,,,,,,,,,,,,,
NT,,selection,,,Aspect ratio4:3,,,,,,,,,,,,,,,
NT,,selection,,,1:1,,,,,,,,,,,,,,,
NT,,,,,1:1 [Title],,,,,,,,,,,,,,,
NT,,,,,4:3,,,,,,,,,,,,,,,
NT,,,,,4:3,,,,,,,,,,,,,,,
NT,,selection,,,16:9,,,,,,,,,,,,,,,
NT,,,,,16:9,,,,,,,,,,,,,,,
NT,,selection,,,Full,,,,,,,,,,,,,,,
NT,,,,,Full,,,,,,,,,,,,,,,
NT,,selection,,,TimerOff,,,,,,,,,,,,,,,
NT,,,,,Timer: Off,,,,,,,,,,,,,,,
NT,,,,,Timer: Off,,,,,,,,,,,,,,,
NT,,,,,3 s,,,,,,,,,,,,,,,
NT,,,,,3 s,,,,,,,,,,,,,,,
NT,,,,,10 s,,,,,,,,,,,,,,,
NT,,,,,10 s,,,,,,,,,,,,,,,
NT,,,,,Auto HDRAuto,,,,,,,,,,,,,,,
NT,,,,,icon,,,,,,,,,,,,,,,
NT,,,,,Auto HDR,,,,,,,,,,,,,,,
NT,,,,,Interval shootingoff,,,,,,,,,,,,,,,
NT,,,,,,Interval shooting [Title],,,,,,,,,,,,,,
NT,,,,,,Take photos at a selected interval until a specified number of shots has been taken.,,,,,,,,,,,,,,
NT,,,,,,OK,,,,,,,,,,,,,,
NT,,,,,,,Back,,,,,,,,,,,,,
NT,,,,,,,Interval shooting [Title],,,,,,,,,,,,,
NT,,selection,,,,,Off (On/Off),,,,,,,,,,,,,
NT,,,,,,,0.0,,,,,,,,,,,,,
NT,,,,,,,Number of shots,,,,,,,,,,,,,
NT,,,,,,,5 shots,,,,,,,,,,,,,
NT,,,,,,,200.0,,,,,,,,,,,,,
NT,,,,,,,Interval,,,,,,,,,,,,,
NT,,,,,,,3 sec,,,,,,,,,,,,,
NT,,,,,,,FlashOff,,,,,,,,,,,,,
NT,,,,,,,Google Lens,,,,,,,,,,,,,
NT,,,,,,,SubSetOff,,,,,,,,,,,,,
NT,,,,,,,filteroff,,,,,,,,,,,,,
NT,,,,,,,face beautyoff,,,,,,,,,,,,,
NT,,,,,,,"PHOTOmode, double finger slide to change mode",,,,,,,,,,,,,
NT,,,,,,,Latest Photos,,,,,,,,,,,,,
NT,,,,,,,"""Shutter"" button",,,,,,,,,,,,,
NT,,,,,,,Front Camera,,,,,,,,,,,,,
NT,,,,,,,PHOTO Rear Camera preview,,,,,,,,,,,,,
NT,,,,,button_container,,,,,,,,,,,,,,,
NT,,,,,,Back,,,,,,,,,,,,,,
NT,,,,,,Interval shooting [Title],,,,,,,,,,,,,,
NT,,selection,,,,On (On/Off),,,,,,,,,,,,,,
NT,,,,,,0.0,,,,,,,,,,,,,,
NT,,,,,,Number of shots,,,,,,,,,,,,,,
NT,,,,,,5 shots,,,,,,,,,,,,,,
NT,,,,,,200.0,,,,,,,,,,,,,,
NT,,,,,,Interval,,,,,,,,,,,,,,
NT,,,,,,3 sec,,,,,,,,,,,,,,
NT,,,,,,FlashOff,,,,,,,,,,,,,,
NT,,,,,,,Close menu,,,,,,,,,,,,,
NT,,selection,,,,,Aspect ratioFull,,,,,,,,,,,,,
NT,,selection,,,,,1:1,,,,,,,,,,,,,
NT,,,,,,,1:1 [Title],,,,,,,,,,,,,
NT,,selection,,,,,4:3,,,,,,,,,,,,,
NT,,,,,,,4:3,,,,,,,,,,,,,
NT,,selection,,,,,16:9,,,,,,,,,,,,,
NT,,,,,,,16:9,,,,,,,,,,,,,
NT,,,,,,,Full,,,,,,,,,,,,,
NT,,,,,,,Full,,,,,,,,,,,,,
NT,,selection,,,,,TimerOff,,,,,,,,,,,,,
NT,,element vanished before click (one-shot?),,,,,Timer: Off,,,,,,,,,,,,,
NT,,,,,,,Timer: Off,,,,,,,,,,,,,
NT,,selection,,,,,3 s,,,,,,,,,,,,,
NT,,,,,,,3 s,,,,,,,,,,,,,
NT,,selection,,,,,10 s,,,,,,,,,,,,,
NT,,,,,,,10 s,,,,,,,,,,,,,
NT,,selection,,,,,Auto HDRAuto,,,,,,,,,,,,,
NT,,selection,,,,,icon,,,,,,,,,,,,,
NT,,,,,,,Auto HDR,,,,,,,,,,,,,
NT,,,,,,,Interval shootingoff,,,,,,,,,,,,,
NT,,,,,,,button_container,,,,,,,,,,,,,
NT,,,,,,,Interval shooting,,,,,,,,,,,,,
NT,,,,,,,Interval shooting,,,,,,,,,,,,,
NT,,,,,,,Settings,,,,,,,,,,,,,
NT,,,,,,,,General [Title],,,,,,,,,,,,
NT,,,,,,,,Watermark,,,,,,,,,,,,
NT,,,,,,,,Off,,,,,,,,,,,,
NT,,,,,,,,Composition assistance,,,,,,,,,,,,
NT,,,,,,,,Shutter sound,,,,,,,,,,,,
NT,,selection,,,,,,On (On/Off),,,,,,,,,,,,
NT,,,,,,,,Mirror selfie,,,,,,,,,,,,
NT,,selection,,,,,,On (On/Off),,,,,,,,,,,,
NT,,,,,,,,Add location tags,,,,,,,,,,,,
NT,,selection,,,,,,Off (On/Off),,,,,,,,,,,,
NT,,,,,,,,Formats,,,,,,,,,,,,
NT,,,,,,,,Save to SD card,,,,,,,,,,,,
NT,,,,,,,,Off (On/Off),,,,,,,,,,,,
NT,,,,,,,,Preserve settings,,,,,,,,,,,,
NT,,,,,,,,Photo,,,,,,,,,,,,
NT,,,,,,,,Shooting methods,,,,,,,,,,,,
NT,,,,,,,,Off,,,,,,,,,,,,
NT,,,,,,,,Handy features,,,,,,,,,,,,
NT,,,,,,,,Volume button action,,,,,,,,,,,,
NT,,,,,,,,Shutter,,,,,,,,,,,,
NT,,,,,,,,Quick launch,,,,,,,,,,,,
NT,,,,,,,,back,,,,,,,,,,,,
NT,,,,,,,,Settings,,,,,,,,,,,,
NT,,,,,,,button_container,,,,,,,,,,,,,
NT,,,,,,,Settings,,,,,,,,,,,,,
NT,,,,,,,Settings,,,,,,,,,,,,,
NT,,,,,,,filteroff,,,,,,,,,,,,,
NT,,,,,,,,PHOTO Rear Camera preview [Title],,,,,,,,,,,,
NT,,,,,,,,Filters,,,,,,,,,,,,
NT,,,,,,,,"Filter adjustment, slide with two fingers to change the filter",,,,,,,,,,,,
NT,,,,,,,,FlashOff,,,,,,,,,,,,
NT,,,,,,,,,PHOTO Rear Camera preview [Title],,,,,,,,,,,
NT,,,,,,,,,Flash: Off,,,,,,,,,,,
NT,,,,,,,,,Flash: Off,,,,,,,,,,,
NT,,selection,,,,,,,On,,,,,,,,,,,
NT,,,,,,,,,On,,,,,,,,,,,
NT,,,,,,,,,Auto,,,,,,,,,,,
NT,,,,,,,,,Auto,,,,,,,,,,,
NT,,,,,,,,,Always on,,,,,,,,,,,
NT,,,,,,,,,Always on,,,,,,,,,,,
NT,,,,,,,,,FlashOff,,,,,,,,,,,
NT,,,,,,,,,Google Lens,,,,,,,,,,,
NT,,,,,,,,,SubSet,,,,,,,,,,,
NT,,,,,,,,,filteroff,,,,,,,,,,,
NT,,,,,,,,,face beautyoff,,,,,,,,,,,
NT,,,,,,,,,"PHOTOmode, double finger slide to change mode",,,,,,,,,,,
NT,,,,,,,,,Latest Photos,,,,,,,,,,,
NT,,,,,,,,,"""Shutter"" button",,,,,,,,,,,
NT,,,,,,,,,Front Camera,,,,,,,,,,,
NT,,leaves app -> com.google.android.googlequicksearchbox,,,,,,Google Lens,,,,,,,,,,,,
NT,,,,,,,,SubSet,,,,,,,,,,,,
NT,,,,,,,,,PHOTO Rear Camera preview [Title],,,,,,,,,,,
NT,,,,,,,,,Close menu,,,,,,,,,,,
NT,,selection,,,,,,,Aspect ratioFull,,,,,,,,,,,
NT,,selection,,,,,,,1:1,,,,,,,,,,,
NT,,,,,,,,,1:1,,,,,,,,,,,
NT,,selection,,,,,,,4:3,,,,,,,,,,,
NT,,,,,,,,,4:3,,,,,,,,,,,
NT,,selection,,,,,,,16:9,,,,,,,,,,,
NT,,,,,,,,,16:9,,,,,,,,,,,
NT,,,,,,,,,Full,,,,,,,,,,,
NT,,,,,,,,,Full,,,,,,,,,,,
NT,,selection,,,,,,,TimerOff,,,,,,,,,,,
NT,,element vanished before click (one-shot?),,,,,,,Timer: Off,,,,,,,,,,,
NT,,,,,,,,,Timer: Off,,,,,,,,,,,
NT,,element vanished before click (one-shot?),,,,,,,3 s,,,,,,,,,,,
NT,,,,,,,,,3 s,,,,,,,,,,,
NT,,selection,,,,,,,10 s,,,,,,,,,,,
NT,,,,,,,,,10 s,,,,,,,,,,,
NT,,selection,,,,,,,Auto HDROff,,,,,,,,,,,
NT,,,,,,,,,icon,,,,,,,,,,,
NT,,,,,,,,,Auto HDR,,,,,,,,,,,
NT,,,,,,,,,Interval shootingoff,,,,,,,,,,,
NT,,,,,,,,,button_container,,,,,,,,,,,
NT,,,,,,,,,,PHOTO Rear Camera preview [Title],,,,,,,,,,
NT,,,,,,,,,,Back,,,,,,,,,,
NT,,,,,,,,,,Interval shooting,,,,,,,,,,
NT,,selection,,,,,,,,Off (On/Off),,,,,,,,,,
NT,,,,,,,,,,0.0,,,,,,,,,,
NT,,,,,,,,,,Number of shots,,,,,,,,,,
NT,,,,,,,,,,5 shots,,,,,,,,,,
NT,,,,,,,,,,200.0,,,,,,,,,,
NT,,,,,,,,,,Interval,,,,,,,,,,
NT,,,,,,,,,,3 sec,,,,,,,,,,
NT,,,,,,,,,,FlashOff,,,,,,,,,,
